event_message,event_type,function_id,id,level,timestamp
shutdown,Shutdown,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,696f9546-c6dc-43d5-8fc8-2706fe96dfd3,log,1773666487323000
shutdown,Shutdown,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,b889413a-570f-46d7-85df-a966657391fd,log,1773666483561000
booted (time: 28ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,5a7de8d7-bfc9-4cac-b226-63bd6b17c6a4,log,1773666480533000
booted (time: 34ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,2e72286e-8b64-4f21-aa23-d6ad4847ef55,log,1773666480488000
booted (time: 27ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,5ac26b35-c752-49a0-9a60-753d18ffe938,log,1773666479696000
booted (time: 54ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,7b1dece6-f12c-4391-9fc0-c9c57e35d663,log,1773666479519000
booted (time: 27ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,aea3f2c2-1e14-48b3-9dc8-c62493e0c800,log,1773666479474000
booted (time: 28ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,2cc118b8-5c12-45e8-94cc-c81746a87a16,log,1773666479459000
booted (time: 26ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,a7505658-9c0c-4a87-a79a-d86a32e05107,log,1773666479453000
booted (time: 29ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,a4953fe3-e90f-497b-89b4-6d85ce1d49da,log,1773666479453000
booted (time: 28ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,a9ac1b07-03c4-42db-89ef-8374e3ce8808,log,1773666479366000
booted (time: 44ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,b1563938-0fb3-47b7-bef1-001124fad51b,log,1773666479311000
booted (time: 26ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,1f55e24a-f827-4a07-a4a5-5ac171d4984c,log,1773666479231000
booted (time: 24ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,ea813af6-1fbb-41c9-bcef-f014f56d0e86,log,1773666479192000
booted (time: 28ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,8b4868a9-138c-4166-b271-f558d7c2cbf2,log,1773666479163000
